,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
XBP1,2.72640131380837e-154,0.170458025859976,2.80854795947473e-58,0.103675594052442,0.745,0.736,1.01222826086957,0.726352555267708
NR4A3,2.76630199861545e-67,0.111641014712593,2.04993854338222e-210,0.198926567413625,0.102,0.033,3.09090909090909,0.726352555267708
HIF1A,1.91919881672432e-82,0.123903230762369,3.64167171627972e-56,0.101717415893321,0.603,0.352,1.71306818181818,0.822634209408176
IRF1,0,0.368761847977624,1.06860112004505e-144,0.165001012150765,0.264,0.271,0.974169741697417,0.85342193000364
CREBZF,1.77213012808775e-41,0.0869057121519469,9.37216587553655e-68,0.111629375931855,0.183,0.151,1.21192052980132,0.898519605462001
ZBTB16,1.67979714432185e-30,0.0739468809554398,5.15427256959919e-295,0.23647412420367,0.462,0.379,1.21899736147757,0.917809266674004
PLAGL1,5.43409709917596e-166,0.176886605185338,1.57611843000521e-51,0.0972068146147708,0.322,0.247,1.30364372469636,0.938595944143027
TAF1,1.44974583901821e-152,0.169489300365556,1.34989500079931e-72,0.11608428413874,0.183,0.103,1.77669902912621,0.938595944143027
KLF6,4.38905497556509e-99,0.136104206925551,2.30911242111635e-106,0.141111288168663,0.599,0.674,0.888724035608308,0.965718948515881
PML,9.51127372412765e-06,0.0285245281680986,2.3277364593484e-299,0.233017413949077,0.201,0.095,2.11578947368421,0.966653368627358
REL,1.47587354856676e-88,0.128520071654937,1.98013113500777e-48,0.0942045009639259,0.465,0.313,1.48562300319489,0.980150930004217
HNF1B,5.88690768824721e-254,0.219274998884919,1.44735480294106e-118,0.149130259419388,0.116,0.135,0.859259259259259,1
KLF10,6.92579676600754e-198,0.193330505919081,7.11522515058611e-30,0.0731257312360401,0.295,0.252,1.17063492063492,1
MEF2D,3.35140499279266e-188,0.188488715948561,2.77164469515503e-86,0.126822681479013,0.127,0.114,1.1140350877193,1
TFCP2,8.4613025091032e-152,0.169057449372447,1.08957693775651e-67,0.111985668250146,0.157,0.08,1.9625,1
IRF2,1.11351511097215e-149,0.167857122434407,4.6792938714539e-183,0.185865373655183,0.147,0.142,1.03521126760563,1
