,dc_lam12_p_val,dc_lam12_delta,sc_lam12_p_val,sc_lam12_delta,dc_nonlam_p_val,dc_nonlam_delta,sc_nonlam_p_val,sc_nonlam_delta,LAM1.pct,LAM2.pct,nonLAM.pct,pct.fc.12,pct.fc.nl,Score
NCOA6,0.000208246175314797,0.248652974126434,0.000159079220972841,0.250466791144305,3.4690597577114e-08,0.244371753349923,1.03221217828211e-09,0.2649126092346,0.258,0.191,0.188,1.35078534031414,1.37234042553191,1
ELK4,0.000209441473857744,0.248546279007735,0.00077475111083458,0.22283275540144,1.2545170286753e-08,0.252522815631924,2.89800178987489e-07,0.226224140175689,0.123,0.165,0.149,0.745454545454545,0.825503355704698,1
BCLAF1,0.000319748764432408,0.240544145105361,0.00186563420544486,0.204321152307282,5.31890366183926e-18,0.388203249318662,6.59430077929389e-06,0.197433962543553,0.748,0.522,0.433,1.43295019157088,1.72748267898383,1
MAFB,0.000451938015636477,0.233822352627367,0.000889132604852995,0.220165377433982,3.23842023690587e-14,0.339772593352662,1.301159397128e-11,0.302135053239045,0.209,0.322,0.172,0.649068322981366,1.21511627906977,1
ZEB1,0.000471948873196195,0.232968791677781,0.00334200490060521,0.19109095758869,2.66167292838703e-16,0.367225084823988,1.14693728161973e-13,0.332177152098248,0.466,0.461,0.153,1.01084598698482,3.04575163398693,1
MXD1,0.000703701339465616,0.224966657775407,2.63672309126591e-05,0.284555881568418,0.00363564248869412,0.121631952435632,3.09722046363599e-11,0.295584062283852,0.27,0.226,0.077,1.19469026548673,3.50649350649351,1
TFAM,0.00102617421767549,0.217177914110429,0.00589600158689716,0.177433982395305,0.00546218367402467,0.115331006368201,0.0438541468761696,0.0773787891595592,0.252,0.191,0.186,1.31937172774869,1.35483870967742,1
KLF4,0.0010579532139349,0.21653774339824,0.00358642225835549,0.189437183248866,3.23821456717877e-05,0.181020775475425,0.00128436105430389,0.136629709590062,0.325,0.339,0.353,0.958702064896755,0.920679886685552,1
ARNT,0.00133322843497327,0.211629767938117,0.0107621263757762,0.161963190184049,1.50741956051047e-22,0.439552998101448,6.22664988953719e-26,0.474237201126174,0.472,0.27,0.149,1.74814814814815,3.16778523489933,1
HOXD10,0.00150892658763383,0.208962389970659,0.00402609898314679,0.169058415577487,1.36459362822228e-11,0.30181821659533,6.06325638421744e-15,0.26447098152722,0.423,0.209,0.001,2.02392344497608,423,1
HSF2,0.00201996138034493,0.20256068284876,0.00665915671528447,0.174393171512403,3.59494820226123e-08,0.244081448304415,1.06077105004327e-07,0.235108986252313,0.172,0.078,0.081,2.2051282051282,2.12345679012346,1
KLF7,0.00209885292609155,0.201707121899173,0.0350192826203485,0.127660709522539,3.7027328950496e-09,0.261985340983483,0.00223409578189113,0.128832813293441,0.362,0.217,0.197,1.66820276497696,1.83756345177665,1
ZNF699,0.00294497219207457,0.194025073352894,0.00345046625217167,0.190344091757802,3.3121880102144e-13,0.325675676509478,1.45266554112932e-11,0.3014014236979,0.141,0.052,0.024,2.71153846153846,5.875,1
ID3,0.00305584602526201,0.193171512403308,0.0322452077918709,0.130274739930648,9.51052090389505e-15,0.346978390321767,5.34997358027278e-20,0.411527454959527,0.497,0.417,0.446,1.19184652278177,1.11434977578475,1
ABL1,0.00333438384428509,0.191144305148039,0.00189733840130764,0.203947719391838,2.48023383431755e-13,0.327461314770264,9.58900478161224e-24,0.451743496210609,0.35,0.357,0.216,0.980392156862745,1.62037037037037,1
BHLHE40,0.00530311312159683,0.180048012803414,0.0021637425846138,0.201013603627634,1.10443262620214e-14,0.346106858171331,1.50028086918647e-05,0.189096716313663,0.693,0.435,0.317,1.59310344827586,2.18611987381703,1
ATF3,0.00544321844244572,0.179407842091224,0.00821118275167392,0.169058415577487,6.38412431702668e-05,0.173595630060671,0.000860937304918647,0.142035985485365,0.644,0.461,0.333,1.39696312364425,1.93393393393393,1
RORA,0.00570864417586295,0.178234195785543,0.00198628032636051,0.202934115764204,2.92560272946426e-45,0.637553687923002,3.17503725773065e-40,0.599256714191135,0.423,0.443,0.3,0.954853273137698,1.41,1
